Transcript,Gene,GeneID,Cytoband,CopyNo,MappedReads,MappedLength,TranscriptLength,PrcntTranscriptCoverage,TotalMappedReads,TotalMappedLength
NM_001163380.1,RAB2B,84932,14q11.2,0.1,9,1825,2859,63.83,305394,7162405
NM_172178.2,MRPL42,28977,12q22,0.2,9,989,2042,48.43,305394,7162405
NM_016648.2,LARP7,51574,4q25,0.9,9,226,2290,9.87,305394,7162405
NM_024578.1,OCEL1,79629,19p13.11,1.3,9,158,1095,14.43,305394,7162405
NM_172177.2,MRPL42,28977,12q22,0.2,9,989,2022,48.91,305394,7162405
NM_020216.3,RNPEP,6051,1q32,0.7,9,317,2417,13.12,305394,7162405
NM_001085400.1,RELL1,768211,4p14,0.1,9,1857,3622,51.27,305394,7162405
NM_032828.2,ZNF587,84914,19q13.43,0,9,4614,6845,67.41,305394,7162405
NM_003846.2,PEX11B,8799,1q21.1,0.5,9,399,1836,21.73,305394,7162405
NM_015139.2,SLC35D1,23169,1p32-p31,0,9,4925,6464,76.19,305394,7162405
NM_001142565.1,CPSF7,79869,11q12.2,1.5,9,141,3589,3.93,305394,7162405
NM_001139457.1,BCAP31,10134,Xq28,2.5,9,86,1821,4.72,305394,7162405
NM_005966.3,NAB1,4664,2q32.3-q33,0.4,9,555,4473,12.41,305394,7162405
NM_198893.2,ZNF160,90338,19q13.42,0.7,9,301,4304,6.99,305394,7162405
NM_003371.3,VAV2,7410,9q34.1,0.5,9,395,4738,8.34,305394,7162405
NM_000206.2,IL2RG,3561,Xq13.1,1.8,9,115,1534,7.5,305394,7162405
NM_207295.1,MBNL1,4154,3q25,0.2,9,1355,5152,26.3,305394,7162405
NM_001172509.1,SATB2,23314,2q33,0,9,4685,5730,81.76,305394,7162405
NM_033624.2,FBXO21,23014,12q24.22,0.9,9,223,4237,5.26,305394,7162405
NM_018420.2,SLC22A15,55356,1p13.1,0.4,9,536,4729,11.33,305394,7162405
NM_001173468.1,PDHB,5162,3p21.1-p14.2,0.8,9,264,1477,17.87,305394,7162405
NM_001114118.1,C17orf85,55421,17p13.2,0.3,9,656,3764,17.43,305394,7162405
NM_033288.3,ZNF160,90338,19q13.42,0.7,9,301,4219,7.13,305394,7162405
NM_013444.3,UBQLN2,29978,Xp11.21,0.5,9,427,3418,12.49,305394,7162405
NM_001190388.1,GNE,10020,9p13.3,0.1,9,1876,5094,36.83,305394,7162405
NM_006591.1,POLD3,10714,11q14,1,9,217,3430,6.33,305394,7162405
NM_001164276.1,ZNF44,51710,19p13.2,0.4,9,479,2797,17.13,305394,7162405
NM_000574.3,CD55,1604,1q32,0.3,9,660,2799,23.58,305394,7162405
NM_144997.5,FLCN,201163,17p11.2,0.4,9,488,3689,13.23,305394,7162405
NM_001195470.1,SATB1,6304,3p23,0.2,9,864,5652,15.29,305394,7162405
NM_020859.3,SHROOM3,57619,4q21.1,0.4,9,534,11023,4.84,305394,7162405
NM_001003712.1,OSBPL8,114882,12q14,0.1,9,2654,7198,36.87,305394,7162405
NM_020648.5,TWSG1,57045,18p11.3,0.7,9,302,3761,8.03,305394,7162405
NM_001218.3,CA12,771,15q22,0.2,9,1335,3979,33.55,305394,7162405
NM_020841.4,OSBPL8,114882,12q14,0.1,9,2654,7244,36.64,305394,7162405
NM_002538.2,OCLN,4950,5q13.1,0.5,9,460,2648,17.37,305394,7162405
NM_001134479.1,LRRC8D,55144,1p22.2,1.6,9,129,3795,3.4,305394,7162405
NM_018553.3,C17orf85,55421,17p13.2,0.3,9,656,3797,17.28,305394,7162405
NM_177542.2,SNRPD2,6633,19q13.2,1,9,208,872,23.85,305394,7162405
NM_000998.4,RPL37A,6168,2q35,0.8,9,269,421,63.9,305394,7162405
NM_012413.3,QPCT,25797,2p22.2,1,9,219,1707,12.83,305394,7162405
NM_001785.2,CDA,978,1p36.2-p35,1,9,222,962,23.08,305394,7162405
NM_000984.5,RPL23A,6147,17q11,0.7,9,298,979,30.44,305394,7162405
NM_006579.2,EBP,10682,Xp11.23-p11.22,0.2,9,1027,1160,88.53,305394,7162405
NM_152609.2,CNST,163882,1q44,0.1,9,3735,5233,71.37,305394,7162405
NM_024709.4,C1orf115,79762,1q41,0.4,9,558,2977,18.74,305394,7162405
NM_020730.2,DLG3,1741,Xq13.1,0.2,9,1141,5079,22.47,305394,7162405
NM_177951.2,PPM1A,5494,14q23.1,0.4,9,562,4320,13.01,305394,7162405
NM_001172517.1,SATB2,23314,2q33,0,9,4685,5326,87.96,305394,7162405
NM_001193304.2,TMEM127,55654,2q11.2,0.2,9,1216,4570,26.61,305394,7162405
NM_016396.2,CTDSPL2,51496,15q15.3-q21.1,0.7,9,319,4875,6.54,305394,7162405
NM_005013.2,NUCB2,4925,11p15.1,0.2,9,1326,1612,82.26,305394,7162405
NM_001134405.1,RUNDC3B,154661,7q21.12,0.2,9,873,4050,21.56,305394,7162405
NM_032569.3,GLYR1,84656,16p13.3,1,9,210,3736,5.62,305394,7162405
NM_207012.2,AP3M1,26985,10q22.2,0.1,9,2743,5257,52.18,305394,7162405
NM_207293.1,MBNL1,4154,3q25,0.2,9,1355,5374,25.21,305394,7162405
NM_001005409.1,SF3A1,10291,22q12.2,0.9,9,248,4928,5.03,305394,7162405
NM_207292.1,MBNL1,4154,3q25,0.2,9,1355,6368,21.28,305394,7162405
NM_002541.3,OGDH,4967,7p14-p13,1.9,9,112,4306,2.6,305394,7162405
NM_032576.4,CYorf15B,84663,Yq11.222,1.3,9,157,3315,4.74,305394,7162405
NM_002973.3,ATXN2,6311,12q24.1,1.2,9,172,4706,3.65,305394,7162405
NM_005877.4,SF3A1,10291,22q12.2,0.9,9,248,5123,4.84,305394,7162405
NM_001136040.2,CPSF7,79869,11q12.2,1.5,9,141,3616,3.9,305394,7162405
NM_032846.3,RAB2B,84932,14q11.2,0.1,9,1825,2932,62.24,305394,7162405
NM_138290.2,RUNDC3B,154661,7q21.12,0.2,9,873,4101,21.29,305394,7162405
NM_001752.3,CAT,847,11p13,0.9,9,241,2300,10.48,305394,7162405
NM_015265.3,SATB2,23314,2q33,0,9,4685,5306,88.3,305394,7162405
NM_015002.2,FBXO21,23014,12q24.22,0.9,9,223,4216,5.29,305394,7162405
NM_014612.3,FAM120A,23196,9q22.31,0.1,9,1497,4957,30.2,305394,7162405
NM_020765.2,UBR4,23352,1p36.13,1.4,9,151,15882,0.95,305394,7162405
NM_000925.3,PDHB,5162,3p21.1-p14.2,0.8,9,264,1531,17.24,305394,7162405
NM_017842.2,SLC48A1,55652,12q13.11,0.2,9,902,3034,29.73,305394,7162405
NM_147781.2,CTSB,1508,8p22,0.1,9,1933,3902,49.54,305394,7162405
NM_014888.2,FAM3C,10447,7q31,0.9,9,232,2545,9.12,305394,7162405
NM_023075.4,MPPE1,65258,18p11.21,0.4,9,492,2806,17.53,305394,7162405
NM_037370.2,CCNDBP1,23582,15q14-q15,1.2,9,175,2322,7.54,305394,7162405
NM_138443.3,HAUS1,115106,18q21.1,1,9,206,1129,18.25,305394,7162405
NM_001908.3,CTSB,1508,8p22,0.1,9,1933,3783,51.1,305394,7162405
NM_017831.3,RNF125,54941,18q12.1,0.1,9,2670,5888,45.35,305394,7162405
NM_001131010.2,SATB1,6304,3p23,0.2,9,864,4054,21.31,305394,7162405
NM_001139441.1,BCAP31,10134,Xq28,2.5,9,86,1346,6.39,305394,7162405
NM_006332.3,IFI30,10437,19p13.1,2.8,9,75,1037,7.23,305394,7162405
NM_001128227.2,GNE,10020,9p13.3,0.1,9,1876,5300,35.4,305394,7162405
NM_001102603.1,ZNF160,90338,19q13.42,0.7,9,301,4336,6.94,305394,7162405
NM_006266.2,RALGDS,5900,9q34.3,2.9,9,72,3636,1.98,305394,7162405
NM_207294.1,MBNL1,4154,3q25,0.2,9,1355,5116,26.49,305394,7162405
NM_024348.2,DCTN3,11258,9p13,0.7,9,307,928,33.08,305394,7162405
NM_005730.3,CTDSP2,10106,12q14.1,0.1,9,3270,5023,65.1,305394,7162405
NM_147782.2,CTSB,1508,8p22,0.1,9,1933,3871,49.94,305394,7162405
NM_006330.2,LYPLA1,10434,8q11.23,0.3,9,666,2578,25.83,305394,7162405
NM_207296.1,MBNL1,4154,3q25,0.2,9,1355,5230,25.91,305394,7162405
NM_000434.3,NEU1,4758,6p21.3,0.3,9,674,2075,32.48,305394,7162405
NM_007234.3,DCTN3,11258,9p13,0.7,9,307,831,36.94,305394,7162405
NM_012095.4,AP3M1,26985,10q22.2,0.1,9,2743,5131,53.46,305394,7162405
NM_002079.2,GOT1,2805,10q24.1-q25.1,0.5,9,402,2131,18.86,305394,7162405
NM_016264.3,ZNF44,51710,19p13.2,0.4,9,479,2653,18.06,305394,7162405
NM_014494.2,TNRC6A,27327,16p11.2,0.3,9,727,8425,8.63,305394,7162405
NM_015957.2,APIP,51074,11p13,0.6,9,327,1266,25.83,305394,7162405
NM_004606.3,TAF1,6872,Xq13.1,0.1,9,2848,7696,37.01,305394,7162405
NM_001270.2,CHD1,1105,5q15-q21,0.3,9,751,6457,11.63,305394,7162405
NM_003468.3,FZD5,7855,2q33.3,0.3,9,829,6567,12.62,305394,7162405
NM_005648.2,TCEB1,6921,8q21.11,0.4,9,545,660,82.58,305394,7162405
NM_138820.2,HIGD2A,192286,5q35.2,0.4,9,527,615,85.69,305394,7162405
NM_004074.2,COX8A,1351,11q12-q13,0.6,9,361,511,70.65,305394,7162405
NM_006412.3,AGPAT2,10555,9q34.3,2.7,9,77,1553,4.96,305394,7162405
NM_207297.1,MBNL1,4154,3q25,0.2,9,1355,5261,25.76,305394,7162405
NM_012142.3,CCNDBP1,23582,15q14-q15,1.2,9,175,2508,6.98,305394,7162405
NM_021038.3,MBNL1,4154,3q25,0.2,9,1355,6404,21.16,305394,7162405
NM_005745.7,BCAP31,10134,Xq28,2.5,9,86,1417,6.07,305394,7162405
NM_012207.2,HNRNPH3,3189,10q22,0.2,9,1013,2416,41.93,305394,7162405
NM_014646.2,LPIN2,9663,18p11.31,1.3,9,160,6232,2.57,305394,7162405
NM_015525.2,IBTK,25998,6q14.1,0.5,9,385,5775,6.67,305394,7162405
NM_001040020.1,FAM3C,10447,7q31,0.9,9,232,2505,9.26,305394,7162405
NM_016057.1,COPZ1,22818,12q13.2-q13.3,0.1,9,1716,1900,90.32,305394,7162405
NM_024811.3,CPSF7,79869,11q12.2,1.5,9,141,3692,3.82,305394,7162405
NM_206925.1,CA12,771,15q22,0.2,9,1335,3946,33.83,305394,7162405
NM_144998.2,STRA13,201254,17q25.3,0.8,9,260,734,35.42,305394,7162405
NM_001012727.1,AGPAT2,10555,9q34.3,2.7,9,77,1457,5.28,305394,7162405
NM_194071.2,CREB3L2,64764,7q34,0.3,9,637,7455,8.54,305394,7162405
NM_138425.2,C12orf57,113246,12p13.31,0.6,9,367,547,67.09,305394,7162405
NM_018840.3,C20orf24,55969,20q11.23,0.4,9,550,1087,50.6,305394,7162405
NM_144582.2,TEX261,113419,2p13.3,0.9,9,232,3370,6.88,305394,7162405
NM_002971.4,SATB1,6304,3p23,0.2,9,864,5556,15.55,305394,7162405
NM_001164803.1,RBMX,27316,Xq26.3,0.5,9,463,2057,22.51,305394,7162405
NM_016485.3,VTA1,51534,6q24.1,0.1,9,1584,3247,48.78,305394,7162405
NM_001540.3,HSPB1,3315,7q11.23,1.6,9,135,901,14.98,305394,7162405
NM_001821.3,CHML,1122,1q42-qter,0.5,9,423,7069,5.98,305394,7162405
NM_001184795.1,PEX11B,8799,1q21.1,0.5,9,399,1642,24.3,305394,7162405
NM_001134398.1,VAV2,7410,9q34.1,0.5,9,395,4855,8.14,305394,7162405
NM_017945.2,SLC35A5,55032,3q13.2,0.4,9,484,2944,16.44,305394,7162405
NM_147780.2,CTSB,1508,8p22,0.1,9,1933,3945,49,305394,7162405
NM_015454.1,LARP7,51574,4q25,0.9,9,226,2162,10.45,305394,7162405
NM_025163.2,PIGZ,80235,3q29,1.1,9,189,2705,6.99,305394,7162405
NM_020829.2,KIAA1432,57589,9p24.1,1.2,9,175,6441,2.72,305394,7162405
NM_017526.3,LEPROT,54741,1p31.3,0.1,9,2201,4647,47.36,305394,7162405
NM_000071.2,CBS,875,21q22.3,1,9,203,2593,7.83,305394,7162405
NM_001042368.1,RALGDS,5900,9q34.3,2.9,9,72,3668,1.96,305394,7162405
NM_138923.2,TAF1,6872,Xq13.1,0.1,9,2848,7633,37.31,305394,7162405
NM_006356.2,ATP5H,10476,17q25,0.4,9,491,628,78.18,305394,7162405
NM_001165036.1,OGDH,4967,7p14-p13,1.9,9,112,4294,2.61,305394,7162405
NM_004502.3,HOXB7,3217,17q21.3,1,9,207,1369,15.12,305394,7162405
NM_018103.4,LRRC8D,55144,1p22.2,1.6,9,129,3782,3.41,305394,7162405
NM_001018008.1,TPM1,7168,15q22.1,0.6,9,367,1566,23.44,305394,7162405
NM_014763.3,MRPL19,9801,2q11.1-q11.2,0.8,9,275,7827,3.51,305394,7162405
NM_005482.2,PIGK,10026,1p31.1,1,9,209,4626,4.52,305394,7162405
NM_001190384.1,GNE,10020,9p13.3,0.1,9,1876,4957,37.85,305394,7162405
NM_001178009.1,CBS,875,21q22.3,1,9,203,2356,8.62,305394,7162405
NM_014050.2,MRPL42,28977,12q22,0.2,9,989,2023,48.89,305394,7162405
NM_001178008.1,CBS,875,21q22.3,1,9,203,2570,7.9,305394,7162405
NM_003898.3,SYNJ2,8871,6q25.3,0.5,8,380,7416,5.12,305394,7162405
NM_019107.3,C19orf10,56005,19p13.3,1.1,8,168,1054,15.94,305394,7162405
NM_001185118.1,MYNN,55892,3q26.2,0.5,8,383,5367,7.14,305394,7162405
NM_020755.2,SERINC1,57515,6q22.31,0.1,8,2650,3133,84.58,305394,7162405
NM_001184721.1,GYG1,2992,3q24-q25.1,1.3,8,143,1755,8.15,305394,7162405
NM_001135776.1,ZBTB43,23099,9q33-q34,0.2,8,1240,5851,21.19,305394,7162405
NM_003789.3,TRADD,8717,16q22,1.8,8,103,1485,6.94,305394,7162405
NM_003376.5,VEGFA,7422,6p12,0.4,8,505,3613,13.98,305394,7162405
NM_005607.3,PTK2,5747,8q24.3,0.8,8,223,4442,5.02,305394,7162405
NM_001040462.2,BTNL8,79908,5q35.3,0.9,8,217,2102,10.32,305394,7162405
NM_001185119.1,MYNN,55892,3q26.2,0.5,8,383,4815,7.95,305394,7162405
NM_177925.2,H2AFJ,55766,12p12,1.1,8,178,3670,4.85,305394,7162405
NM_182905.4,WASH1,100287171,9p24.3,0.9,8,201,1837,10.94,305394,7162405
NM_001171091.1,UBXN6,80700,19p13,3.2,8,59,1817,3.25,305394,7162405
NM_153826.3,CD46,4179,1q32,0.2,8,1077,3264,33,305394,7162405
NM_007372.2,DDX42,11325,17q23.3,0.3,8,616,3997,15.41,305394,7162405
NM_138711.3,PPARG,5468,3p25,0.4,8,495,1919,25.79,305394,7162405
NM_004120.3,GBP2,2634,1p22.2,0.6,8,309,2595,11.91,305394,7162405
NM_001114175.1,GABRA2,2555,4p12,0.6,8,289,2775,10.41,305394,7162405
NM_000560.3,CD53,963,1p13,0.4,8,449,1567,28.65,305394,7162405
NM_032776.1,JMJD1C,221037,10q21.3,0,8,7253,8743,82.96,305394,7162405
NM_012243.1,SLC35A3,23443,1p21,1.1,8,174,2149,8.1,305394,7162405
NM_001025366.2,VEGFA,7422,6p12,0.4,8,505,3664,13.78,305394,7162405
NM_001171622.1,VEGFA,7422,6p12,0.4,8,505,3379,14.95,305394,7162405
NM_001171623.1,VEGFA,7422,6p12,0.4,8,505,3664,13.78,305394,7162405
NM_020340.4,KIAA1244,57221,6q23.3,0,8,4474,14886,30.06,305394,7162405
NM_019071.2,ING3,54556,7q31,0.2,8,816,2208,36.96,305394,7162405
NM_173515.2,CNKSR3,154043,6q25.2,1.2,8,163,3266,4.99,305394,7162405
NM_005379.2,MYO1A,4640,12q13-q14,0.6,8,319,3617,8.82,305394,7162405
NM_002766.2,PRPSAP1,5635,17q24-q25,1.5,8,127,2359,5.38,305394,7162405
NM_207042.1,ENSA,2029,1q21.3,0.6,8,316,1291,24.48,305394,7162405
NM_018390.3,PLCXD1,55344,Yp11.32,0.1,8,3330,5307,62.75,305394,7162405
NM_014755.2,SERTAD2,9792,2p14,0.4,8,474,5552,8.54,305394,7162405
NM_006704.3,SUGT1,10910,13q14.3,0.7,8,263,1695,15.52,305394,7162405
NM_001136501.1,ZNF844,284391,19p13.2,0.7,8,268,2834,9.46,305394,7162405
NM_032451.1,SPIRE2,84501,16q24,0.4,8,461,3249,14.19,305394,7162405
NM_001025368.2,VEGFA,7422,6p12,0.4,8,505,3541,14.26,305394,7162405
NM_133433.3,NIPBL,25836,5p13.2,0,8,7757,9841,78.82,305394,7162405
NM_005033.2,EXOSC9,5393,4q27,0.2,8,760,1593,47.71,305394,7162405
NM_001159708.1,BTNL8,79908,5q35.3,0.9,8,217,2211,9.81,305394,7162405
NM_000122.1,ERCC3,2071,2q21,0.3,8,601,2751,21.85,305394,7162405
NM_031899.2,GORASP1,64689,3p22-p21.33,0.7,8,277,3057,9.06,305394,7162405
NM_001031683.2,IFIT3,3437,10q24,0.6,8,292,2458,11.88,305394,7162405
NM_032442.2,NEURL4,84461,17p13,0.8,8,245,5192,4.72,305394,7162405
NM_014007.3,ZBTB43,23099,9q33-q34,0.2,8,1240,5974,20.76,305394,7162405
NM_007041.2,ATE1,11101,10q26.13,0.3,8,660,2213,29.82,305394,7162405
NM_015138.4,RTF1,23168,15q15.1,0.2,8,1120,5025,22.29,305394,7162405
NM_001171625.1,VEGFA,7422,6p12,0.4,8,505,3595,14.05,305394,7162405
NM_199483.1,C20orf24,55969,20q11.23,0.5,8,383,961,39.85,305394,7162405
NM_172359.2,CD46,4179,1q32,0.2,8,1077,3309,32.55,305394,7162405
NM_001159644.1,MCTP2,55784,15q26.2,0.3,8,546,2001,27.29,305394,7162405
NM_001040033.1,CD53,963,1p13,0.4,8,449,1572,28.56,305394,7162405
NM_024050.5,DDA1,79016,19p13.11,0.1,8,1482,4078,36.34,305394,7162405
NM_030808.3,NDEL1,81565,17p13.1,1,8,191,2379,8.03,305394,7162405
NM_001178088.1,SYNJ2,8871,6q25.3,0.5,8,380,7339,5.18,305394,7162405
NM_002799.2,PSMB7,5695,9q34.11-q34.12,0.2,8,774,988,78.34,305394,7162405
NM_001024075.1,HNMT,3176,2q22.1,1.1,8,177,907,19.51,305394,7162405
NM_001170460.1,CDK16,5127,Xp11,0.1,8,1648,3021,54.55,305394,7162405
NM_001009955.2,SSBP3,23648,1p32.3,0.5,8,348,2106,16.52,305394,7162405
NM_001034194.1,EXOSC9,5393,4q27,0.2,8,760,1644,46.23,305394,7162405
NM_006201.4,CDK16,5127,Xp11,0.1,8,1648,3156,52.22,305394,7162405
NM_018897.2,DNAH7,56171,2q32.3,0.8,8,225,12398,1.81,305394,7162405
NM_145280.4,FAM119A,151194,2q33.3,0.3,8,689,4748,14.51,305394,7162405
NM_001171629.1,VEGFA,7422,6p12,0.4,8,505,3475,14.53,305394,7162405
NM_001779.2,CD58,965,1p13,1,8,197,1153,17.09,305394,7162405
NM_005633.3,SOS1,6654,2p21,1,8,180,8321,2.16,305394,7162405
NM_005981.3,TSPAN31,6302,12q13.3,0.4,8,420,1749,24.01,305394,7162405
NM_203447.3,DOCK8,81704,9p24.3,0.8,8,234,7457,3.14,305394,7162405
NM_025241.2,UBXN6,80700,19p13,3.2,8,59,1919,3.07,305394,7162405
NM_138788.3,TMEM45B,120224,11q24.3,0.4,8,466,2207,21.11,305394,7162405
NM_001025367.2,VEGFA,7422,6p12,0.4,8,505,3595,14.05,305394,7162405
NM_004196.3,CDKL1,8814,14q21.3,0.5,8,378,1177,32.12,305394,7162405
NM_001171626.1,VEGFA,7422,6p12,0.4,8,505,3541,14.26,305394,7162405
NM_003115.4,UAP1,6675,1q23.3,0.3,8,734,2331,31.49,305394,7162405
NM_004388.2,CTBS,1486,1p22,1,8,184,3104,5.93,305394,7162405
NM_007282.4,RNF13,11342,3q25.1,0.2,8,856,2965,28.87,305394,7162405
NM_001005738.1,FPR2,2358,19q13.3-q13.4,2,8,92,1921,4.79,305394,7162405
NM_203499.1,DDX42,11325,17q23.3,0.3,8,616,3926,15.69,305394,7162405
NM_013387.3,UQCR10,29796,22cen-q12.3,0.7,8,269,921,29.21,305394,7162405
NM_198183.1,UBE2L6,9246,11q12,0.8,8,224,1269,17.65,305394,7162405
NM_018955.2,UBB,7314,17p12-p11.2,0.3,8,690,971,71.06,305394,7162405
NM_020147.2,THAP10,56906,15q23,1.1,8,178,2032,8.76,305394,7162405
NM_024850.2,BTNL8,79908,5q35.3,0.9,8,217,2232,9.72,305394,7162405
NM_172350.2,CD46,4179,1q32,0.2,8,1077,3155,34.14,305394,7162405
NM_004241.2,JMJD1C,221037,10q21.3,0,8,7199,8396,85.74,305394,7162405
NM_001085426.1,ARSA,410,22q13.33,1.2,8,156,1905,8.19,305394,7162405
NM_001159707.1,BTNL8,79908,5q35.3,0.9,8,217,1754,12.37,305394,7162405
NM_018070.3,SSBP3,23648,1p32.3,0.5,8,348,2014,17.28,305394,7162405
NM_001171630.1,VEGFA,7422,6p12,0.4,8,505,3379,14.95,305394,7162405
NM_017775.2,TTC19,54902,17p12,0.3,8,726,2784,26.08,305394,7162405
NM_013318.3,BAT2L1,84726,9q34.13,0.6,8,338,11062,3.06,305394,7162405
NM_001380.3,DOCK1,1793,10q26.13-q26.3,0.4,8,423,6751,6.27,305394,7162405
NM_004223.3,UBE2L6,9246,11q12,0.8,8,224,1260,17.78,305394,7162405
NM_020824.3,ARHGAP21,57584,10p12.1,1.5,8,125,7172,1.74,305394,7162405
NM_001085425.1,ARSA,410,22q13.33,1.2,8,156,1953,7.99,305394,7162405
NM_001025579.1,NDEL1,81565,17p13.1,1,8,191,2414,7.91,305394,7162405
NM_001033756.2,VEGFA,7422,6p12,0.4,8,505,3475,14.53,305394,7162405
NM_006519.2,DYNLT1,6993,6q25.2-q25.3,0.4,8,488,761,64.13,305394,7162405
NM_002070.2,GNAI2,2771,3p21,0.7,8,276,2200,12.55,305394,7162405
NM_033018.3,CDK16,5127,Xp11,0.1,8,1648,3263,50.51,305394,7162405
NM_004255.3,COX5A,9377,15q24.1,0.5,8,383,772,49.61,305394,7162405
NM_017437.1,CPSF2,53981,14q31.1,0.1,8,1930,5041,38.29,305394,7162405
NM_013352.2,DSE,29940,6q22,0.4,8,455,4042,11.26,305394,7162405
NM_006834.3,RAB32,10981,6q24.3,0.8,8,233,1210,19.26,305394,7162405
NM_024311.2,MFSD11,79157,17q25,0.2,8,900,2511,35.84,305394,7162405
NM_001127395.1,FAM119A,151194,2q33.3,0.3,8,689,4805,14.34,305394,7162405
NM_001146688.1,KDM3A,55818,2p11.2,0.8,8,231,4625,4.99,305394,7162405
NM_020135.2,WRNIP1,56897,6p25.2,1,8,179,2656,6.74,305394,7162405
NM_001031711.2,ERGIC1,57222,5q35.1,1.2,8,160,2940,5.44,305394,7162405
NM_001003785.1,ATP5H,10476,17q25,0.4,8,419,556,75.36,305394,7162405
NM_018433.5,KDM3A,55818,2p11.2,0.8,8,231,4894,4.72,305394,7162405
NM_001549.4,IFIT3,3437,10q24,0.6,8,292,2546,11.47,305394,7162405
NM_001025369.2,VEGFA,7422,6p12,0.4,8,505,3506,14.4,305394,7162405
NM_172352.2,CD46,4179,1q32,0.2,8,1077,3312,32.52,305394,7162405
NM_022059.2,CXCL16,58191,17p13,0.2,8,1039,2327,44.65,305394,7162405
NM_003389.3,CORO2A,7464,9q22.3,0.1,8,3536,5646,62.63,305394,7162405
NM_001462.3,FPR2,2358,19q13.3-q13.4,2,8,92,2019,4.56,305394,7162405
NM_001184720.1,GYG1,2992,3q24-q25.1,1.3,8,143,1975,7.24,305394,7162405
NM_001170543.1,PGAM5,192111,12q24.33,0.1,8,1360,2851,47.7,305394,7162405
NM_001085427.1,ARSA,410,22q13.33,1.2,8,156,1860,8.39,305394,7162405
NM_001159709.1,BTNL8,79908,5q35.3,0.9,8,217,1805,12.02,305394,7162405
NM_001025370.2,VEGFA,7422,6p12,0.4,8,505,3409,14.81,305394,7162405
NM_001410.2,MEGF8,1954,19q12,0,8,8322,10966,75.89,305394,7162405
NM_001193536.1,DOCK8,81704,9p24.3,0.8,8,234,7242,3.23,305394,7162405
NM_000487.4,ARSA,410,22q13.33,1.2,8,156,2058,7.58,305394,7162405
NM_006763.2,BTG2,7832,1q32,0.3,8,543,2718,19.98,305394,7162405
NM_001085428.1,ARSA,410,22q13.33,1.2,8,156,1668,9.35,305394,7162405
NM_172361.2,CD46,4179,1q32,0.2,8,1077,3177,33.9,305394,7162405
NM_172353.2,CD46,4179,1q32,0.2,8,1077,3219,33.46,305394,7162405
NM_002646.3,PIK3C2B,5287,1q32,0.3,8,706,7606,9.28,305394,7162405
NM_014181.2,HSPC159,29094,2p14,0.3,8,679,3831,17.72,305394,7162405
NM_130395.1,WRNIP1,56897,6p25.2,1,8,179,2581,6.94,305394,7162405
NM_018951.3,HOXA10,3206,7p15.2,0.6,8,289,2575,11.22,305394,7162405
NM_018657.4,MYNN,55892,3q26.2,0.5,8,383,5300,7.23,305394,7162405
NM_001001976.1,ATE1,11101,10q26.13,0.3,8,660,2213,29.82,305394,7162405
NM_207046.1,ENSA,2029,1q21.3,0.6,8,316,1107,28.55,305394,7162405
NM_004130.3,GYG1,2992,3q24-q25.1,1.3,8,143,2026,7.06,305394,7162405
NM_006895.2,HNMT,3176,2q22.1,1.1,8,177,3373,5.25,305394,7162405
NM_001080976.1,DSE,29940,6q22,0.4,8,455,4008,11.35,305394,7162405
NM_153831.2,PTK2,5747,8q24.3,0.8,8,223,4453,5.01,305394,7162405
NM_015384.4,NIPBL,25836,5p13.2,0,8,8305,10389,79.94,305394,7162405
NM_172351.2,CD46,4179,1q32,0.2,8,1077,3357,32.08,305394,7162405
NM_002389.4,CD46,4179,1q32,0.2,8,1077,3402,31.66,305394,7162405
NM_153715.3,HOXA10,3206,7p15.2,0.6,8,289,2199,13.14,305394,7162405
NM_001024465.1,SOD2,6648,6q25.3,0.3,8,689,1027,67.09,305394,7162405
NM_001171628.1,VEGFA,7422,6p12,0.4,8,505,3409,14.81,305394,7162405
NM_001170544.1,PGAM5,192111,12q24.33,0.1,8,1360,2848,47.75,305394,7162405
NM_001005408.1,NEURL4,84461,17p13,0.8,8,245,5186,4.72,305394,7162405
NM_145716.2,SSBP3,23648,1p32.3,0.5,8,348,2074,16.78,305394,7162405
NM_001003680.2,LEPR,3953,1p31,1.2,8,158,3159,5,305394,7162405
NM_052820.3,CORO2A,7464,9q22.3,0.1,8,3536,5496,64.34,305394,7162405
NM_183381.2,RNF13,11342,3q25.1,0.2,8,856,2863,29.9,305394,7162405
NM_006915.2,RP2,6102,Xp11.3,0.3,8,606,3831,15.82,305394,7162405
NM_004827.2,ABCG2,9429,4q22,0.3,8,675,4435,15.22,305394,7162405
NM_024516.3,C16orf53,79447,16p11.2,1.2,8,159,3828,4.15,305394,7162405
NM_001171624.1,VEGFA,7422,6p12,0.4,8,505,3613,13.98,305394,7162405
NM_138712.3,PPARG,5468,3p25,0.4,8,495,1892,26.16,305394,7162405
NM_001166425.1,GNAI2,2771,3p21,0.7,8,276,2143,12.88,305394,7162405
NM_207045.1,ENSA,2029,1q21.3,0.6,8,316,1155,27.36,305394,7162405
NM_004436.2,ENSA,2029,1q21.3,0.6,8,316,1243,25.42,305394,7162405
NM_153371.3,LNX2,222484,13q12.2,0.1,8,1920,4804,39.97,305394,7162405
NM_001159710.1,BTNL8,79908,5q35.3,0.9,8,217,1605,13.52,305394,7162405
NM_001190458.1,DOCK8,81704,9p24.3,0.8,8,234,7146,3.27,305394,7162405
